product_name,slug,product_family,grade,short_description,physical_form,applications,industries,manufacturer_supplier,country_of_origin,cas_number,hs_gtip_code,un_number,dangerous_goods_class,minimum_order_quantity,quantity_unit,packaging_options,supported_incoterms,dispatch_location,availability_status,availability_checked_date,tds_url,tds_revision_date,sds_url,sds_revision_date,coa_available,certificate_of_origin_available,source_url,source_image_url,image_rights_status,technical_properties_json,last_reviewed_date,verification_status,rfq_enabled,intermediary_disclosure
T-HR 2320,t-hr-2320,ABS,T-HR 2320,"T-HR 2320 is listed in the ABS product family. Review the technical property table and confirm the intended application, current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-hr-2320,https://chemportal.com.tr/wp-content/uploads/2024/11/ABS.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""Melt Flow Index (200°C/5KG)"", ""Unit"": ""GR/10MIN"", ""Test Method"": ""ASTM D-1238"", ""Typical Value"": ""1.2""}, {""Property"": ""Izod Impact Strength"", ""Unit"": ""KGf.CM/CM"", ""Test Method"": ""ASTM D-256"", ""Typical Value"": ""20""}, {""Property"": ""Vicat Softening Point (5KGF LOAD)"", ""Unit"": ""°C"", ""Test Method"": ""ASTM D-1525"", ""Typical Value"": ""103""}, {""Property"": ""Tensile Strength at Yield"", ""Unit"": ""KGf/CM2"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""470""}, {""Property"": ""Elongation at Break"", ""Unit"": ""%"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""12""}, {""Property"": ""Tensile Modulus"", ""Unit"": ""KGf/CM2"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""20000""}, {""Property"": ""Rockwell Hardness (at 23°C)"", ""Unit"": ""R.SCALE"", ""Test Method"": ""ASTM D-785"", ""Typical Value"": ""107""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
T-HR 2340,t-hr-2340,ABS,T-HR 2340,"T-HR 2340 is a ABS grade intended for applications including Furniture; Automotive parts. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Furniture | Automotive parts | General injection molding | Appliance casings and home appliances with heat resistance characteristics | Prior to processing, drying is advised in a desiccant dehumidifying hopper dryer. | Inlet air dew point of -20°F (-29°C) or below is recommended to achieve a moisture content of 0.1%. | Typical drying conditions: 2 hours at 180° – 190°F (82° – 88°C). 4 hours at 160° – 170°F (71° – 77°C) if lower temperature is preferred. | 2 hours at 180° – 190°F (82° – 88°C). | 4 hours at 160° – 170°F (71° – 77°C) if lower temperature is preferred.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-hr-2340,https://chemportal.com.tr/wp-content/uploads/2024/11/ABS.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""Melt Flow Index (200°C/5KG)"", ""Unit"": ""GR/10MIN"", ""Test Method"": ""ASTM D-1238"", ""Typical Value"": ""1""}, {""Property"": ""Izod Impact Strength"", ""Unit"": ""KGF.CM/CM"", ""Test Method"": ""ASTM D-256"", ""Typical Value"": ""40""}, {""Property"": ""Vicat Softening Point (5KGF LOAD)"", ""Unit"": ""°C"", ""Test Method"": ""ASTM D-1525"", ""Typical Value"": ""112""}, {""Property"": ""Tensile Strength at Yield"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""480""}, {""Property"": ""Tensile Modulus"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""22000""}, {""Property"": ""Elongation at Break"", ""Unit"": ""%"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""14""}, {""Property"": ""Rockwell Hardness (at 23°C)"", ""Unit"": ""R.SCALE"", ""Test Method"": ""ASTM D-785"", ""Typical Value"": ""110""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
T-SD 0150,t-sd-0150,ABS,T-SD 0150,"T-SD 0150 is a ABS grade intended for applications including Furniture; Automotive Parts. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Furniture | Automotive Parts | General Injection Molding | Appliances Casing | Office Supplies | Pre-processing drying in a desiccant dehumidifying hopper dryer is recommended. | Inlet air dew point should be -20°F (-29°C) or below to achieve a moisture content of 0.1%. | Typical drying conditions are: 2 hours at 180° – 190°F (82° – 88°C) Alternatively, drying for 4 hours at 160°-170°F (71°-77°C) is adequate. | 2 hours at 180° – 190°F (82° – 88°C) | Alternatively, drying for 4 hours at 160°-170°F (71°-77°C) is adequate.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-sd-0150,https://chemportal.com.tr/wp-content/uploads/2024/11/ABS.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""Melt Flow Index (200°C/5KG)"", ""Unit"": ""GR/10MIN"", ""Test Method"": ""ASTM D-1238"", ""Typical Value"": ""1.8""}, {""Property"": ""Izod Impact Strength"", ""Unit"": ""KGF.CM/CM"", ""Test Method"": ""ASTM D-256"", ""Typical Value"": ""22""}, {""Property"": ""Vicat Softening Point (5KGF Load)"", ""Unit"": ""°C"", ""Test Method"": ""ASTM D-1525"", ""Typical Value"": ""98""}, {""Property"": ""Tensile Strength at Yield"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-638 (5mm/min)"", ""Typical Value"": ""450""}, {""Property"": ""Flexural Strength at Yield"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-790"", ""Typical Value"": ""600""}, {""Property"": ""Flexural Modulus"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-790"", ""Typical Value"": ""22000""}, {""Property"": ""Rockwell Hardness (at 23°C)"", ""Unit"": ""R.SCALE"", ""Test Method"": ""ASTM D-785"", ""Typical Value"": ""105""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
T-SV 0157,t-sv-0157,ABS,T-SV 0157,"T-SV 0157 is a ABS grade intended for applications including Panels for large appliances; Thermoformed items such as hot tubs. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Panels for large appliances | Thermoformed items such as hot tubs | Recreational vehicle parts | Refrigerator liners | Prior to processing, drying is advised in a desiccant dehumidifying hopper dryer. | Inlet air dew point of -20°F (-29°C) or below is recommended to achieve a moisture content of 0.1%. | Typical drying conditions: 2 hours at 180° – 190°F (82° – 88°C). 4 hours at 160° – 170°F (71° – 77°C) if lower temperature is preferred. | 2 hours at 180° – 190°F (82° – 88°C). | 4 hours at 160° – 170°F (71° – 77°C) if lower temperature is preferred.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-sv-0157,https://chemportal.com.tr/wp-content/uploads/2024/11/ABS.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""Melt Flow Index (200°C/5KG)"", ""Unit"": ""GR/10MIN"", ""Test Method"": ""ASTM D-1238"", ""Typical Value"": ""0.5""}, {""Property"": ""Izod Impact Strength"", ""Unit"": ""KGF.CM/CM"", ""Test Method"": ""ASTM D-256"", ""Typical Value"": ""31""}, {""Property"": ""Vicat Softening Point (5KGF LOAD)"", ""Unit"": ""°C"", ""Test Method"": ""ASTM D-1525"", ""Typical Value"": ""101""}, {""Property"": ""Tensile Strength at Yield"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""430""}, {""Property"": ""Flexural Strength at Yield"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-790"", ""Typical Value"": ""620""}, {""Property"": ""Flexural Modulus"", ""Unit"": ""KGF/CM2"", ""Test Method"": ""ASTM D-790"", ""Typical Value"": ""21000""}, {""Property"": ""Rockwell Hardness (at 23°C)"", ""Unit"": ""R.SCALE"", ""Test Method"": ""ASTM D-785"", ""Typical Value"": ""104""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
METHANOL,methanol,Alcohols,METHANOL,"METHANOL is listed in the Alcohols product family. Review the technical property table and confirm the intended application, current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=methanol,https://chemportal.com.tr/wp-content/uploads/2024/11/METHANOL.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""TEST"": ""Appearance"", ""METHOD"": ""ASTM-D 1722"", ""LIMIT (SPEC)"": ""Clear and free of suspended matter""}, {""TEST"": ""Purity (WT %)"", ""METHOD"": ""ASTM-E346"", ""LIMIT (SPEC)"": ""Min 99.85""}, {""TEST"": ""Water (WT %)"", ""METHOD"": ""ASTM-E 1064"", ""LIMIT (SPEC)"": ""Max 0.1""}, {""TEST"": ""Ethanol (WT %)"", ""METHOD"": ""ASTM-E346"", ""LIMIT (SPEC)"": ""Max 0.005""}, {""TEST"": ""SP.GR@20/20"", ""METHOD"": ""ASTM-D 4052"", ""LIMIT (SPEC)"": ""0.791-0.793""}, {""TEST"": ""Acetone (WT %)"", ""METHOD"": ""ASTM-E346"", ""LIMIT (SPEC)"": ""Max 0.001""}, {""TEST"": ""Permanganate Time@15°C, minutes"", ""METHOD"": ""ASTM-D 1363"", ""LIMIT (SPEC)"": ""*Minimum 60""}, {""TEST"": ""Distillation Range"", ""METHOD"": ""ASTM-D 1078"", ""LIMIT (SPEC)"": ""Max 1.0°C to include 64.6°C ± 0.1""}, {""TEST"": ""Acidity (WT %)(as acetic acid)"", ""METHOD"": ""ASTM-D 1613"", ""LIMIT (SPEC)"": ""Max 0.003""}, {""TEST"": ""Total Iron (ppm)"", ""METHOD"": ""ASTM-D 1068"", ""LIMIT (SPEC)"": ""Max 0.1""}, {""TEST"": ""Chloride (ppm)"", ""METHOD"": ""ASTM-D512"", ""LIMIT (SPEC)"": ""Max 0.2""}, {""TEST"": ""Sulphur (ppm)"", ""METHOD"": ""ASTM-D5623"", ""LIMIT (SPEC)"": ""NIL""}, {""TEST"": ""Hydrocarbons (Water Miscibility)"", ""METHOD"": ""ASTM-D1722"", ""LIMIT (SPEC)"": ""Passes test""}, {""TEST"": ""Carbonisable PT-CO"", ""METHOD"": ""ASTM-E346"", ""LIMIT (SPEC)"": ""Max 30 APHA""}, {""TEST"": ""Odour"", ""METHOD"": ""ASTM-D 1296"", ""LIMIT (SPEC)"": ""Characteristic with nonresidual odour""}, {""TEST"": ""Colour PT-CO APHA"", ""METHOD"": ""ASTM-D 1209"", ""LIMIT (SPEC)"": ""Max 5 APHA""}, {""TEST"": ""Non-Volatile Matter"", ""METHOD"": ""ASTM-D 1353"", ""LIMIT (SPEC)"": ""Max 8 mg/1000ml""}, {""TEST"": ""Alkalinity as NH3 (WT %)"", ""METHOD"": ""ASTM-D1614"", ""LIMIT (SPEC)"": ""NIL""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
T-EPS,t-eps,EPS,T-EPS,"T-EPS is a EPS grade intended for applications including Types: High Strength (HS), Fast Cycle (FC), Water Proof (WP), Special Extrusion (EX); Grade Codes: 121, 221, 321 (HS); 323, 422, 522 (FC); 326, 426, 526 (WP); 600 (EX). Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Types: High Strength (HS), Fast Cycle (FC), Water Proof (WP), Special Extrusion (EX) | Grade Codes: 121, 221, 321 (HS); 323, 422, 522 (FC); 326, 426, 526 (WP); 600 (EX) | Lower densities can be achieved by double pre-expansion.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-eps,https://chemportal.com.tr/wp-content/uploads/2024/11/EPS.jpg,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Type & Grade"": ""TPC – 121 HS"", ""Bead Size (mm)"": ""1.8 – 2.5"", ""Typical End Product Density (kg/m³)"": ""13 – 25"", ""Typical Applications"": ""Low-density blocks""}, {""Type & Grade"": ""TPC – 221 HS"", ""Bead Size (mm)"": ""1.0 – 1.8"", ""Typical End Product Density (kg/m³)"": ""14 – 30"", ""Typical Applications"": ""Low – Medium density blocks""}, {""Type & Grade"": ""TPC – 321 HS"", ""Bead Size (mm)"": ""0.7 – 1.0"", ""Typical End Product Density (kg/m³)"": ""18 – 30"", ""Typical Applications"": ""Shape molding with wall thickness > 10 mm, and medium – high density blocks""}, {""Type & Grade"": ""TPC – 323 FC"", ""Bead Size (mm)"": ""0.7 – 1.0"", ""Typical End Product Density (kg/m³)"": ""18 – 30"", ""Typical Applications"": ""Faster cycling shape molding with wall thickness >10 mm, & medium-high density blocks""}, {""Type & Grade"": ""TPC – 422 FC"", ""Bead Size (mm)"": ""0.5 – 0.7"", ""Typical End Product Density (kg/m³)"": ""20 – 35"", ""Typical Applications"": ""Faster cycling shape molding of 6-10 mm wall thickness suitable for high-quality products demanding improved surface finish and high strength""}, {""Type & Grade"": ""TPC – 522 FC"", ""Bead Size (mm)"": ""0.3 – 0.5"", ""Typical End Product Density (kg/m³)"": ""22 – 50"", ""Typical Applications"": ""Very thin wall shape molding with wall thickness < 5mm suitable for high-quality products demanding improved surface finish and high strength""}, {""Type & Grade"": ""TPC – 600 EX"", ""Bead Size (mm)"": ""UP TO 0.3"", ""Typical End Product Density (kg/m³)"": ""—-"", ""Typical Applications"": ""Special type for extrusion""}, {""Type & Grade"": ""TPC – 326 WP"", ""Bead Size (mm)"": ""0.7 – 1.0"", ""Typical End Product Density (kg/m³)"": ""18 – 30"", ""Typical Applications"": ""Low water absorption, longer cycling shape molding with wall thickness >10 mm""}, {""Type & Grade"": ""TPC – 426 WP"", ""Bead Size (mm)"": ""0.5 – 0.7"", ""Typical End Product Density (kg/m³)"": ""10 – 35"", ""Typical Applications"": ""Very low water absorption, cycling shape molding of 6-10 mm wall thickness""}, {""Type & Grade"": ""TPC – 526 WP"", ""Bead Size (mm)"": ""0.3 – 0.5"", ""Typical End Product Density (kg/m³)"": ""22 – 50"", ""Typical Applications"": ""Very thin-wall waterproof shape molding products with wall thickness <6 mm such as drinking cups""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
T-GPPS 1160,t-gpps-1160,GPPS,T-GPPS 1160,"T-GPPS 1160 is a GPPS grade intended for applications including All mentioned data are typical values and not to be construed as real specifications. Users should confirm results through their tests. For more information about guaranteed items, please refer to S.S.S. (Standard Sales Specifications).; Density and shrinkage of this grade are approximately around 1.04 kg/lit & (0.4-0.7)% (ASTM D-955) respectively.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"All mentioned data are typical values and not to be construed as real specifications. Users should confirm results through their tests. For more information about guaranteed items, please refer to S.S.S. (Standard Sales Specifications). | Density and shrinkage of this grade are approximately around 1.04 kg/lit & (0.4-0.7)% (ASTM D-955) respectively. | All tests are carried out at 23°C, unless otherwise specified. | If the injection molding product quality is affected by moisture, GPPS granules can be dried at 70°C for 2-4 hours.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-gpps-1160,https://chemportal.com.tr/wp-content/uploads/2024/11/GPPS.jpg,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""MELT FLOW INDEX (200°C 5KG)"", ""Unit"": ""g/10min"", ""Test Method"": ""ASTM D-1238"", ""Typical Value"": ""2.5""}, {""Property"": ""STYRENE RESIDUAL MONOMER"", ""Unit"": ""PPM"", ""Test Method"": ""CLG LABPSG004 (ATOFINA TEST METHOD)"", ""Typical Value"": ""<500""}, {""Property"": ""VICAT SOFTENING POINT (50°C/hr 1kg)"", ""Unit"": ""°C"", ""Test Method"": ""ASTM D-1525"", ""Typical Value"": ""105""}, {""Property"": ""ROCKWELL HARDNESS"", ""Unit"": ""–"", ""Test Method"": ""ASTM D-785"", ""Typical Value"": ""SCALE/L70""}, {""Property"": ""TENSILE STRENGTH AT BREAK"", ""Unit"": ""MPA"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""48""}, {""Property"": ""ELONGATION AT BREAK"", ""Unit"": ""%"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""3""}, {""Property"": ""TENSILE MODULUS"", ""Unit"": ""MPA"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""3200""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
T-GPPS 1460,t-gpps-1460,GPPS,T-GPPS 1460,"T-GPPS 1460 is a GPPS grade intended for applications including All mentioned data are typical values and not to be construed as real specifications. Users should confirm results through their tests. For more information about guaranteed items, please refer to S.S.S. (Standard Sales Specifications).; Density and shrinkage of this grade are approximately around 1.04 kg/lit & (0.4-0.7)% (ASTM D-955) respectively.. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"All mentioned data are typical values and not to be construed as real specifications. Users should confirm results through their tests. For more information about guaranteed items, please refer to S.S.S. (Standard Sales Specifications). | Density and shrinkage of this grade are approximately around 1.04 kg/lit & (0.4-0.7)% (ASTM D-955) respectively. | All tests are carried out at 23°C, unless otherwise specified. | If the injection molding products quality is affected by moisture, GPPS granules can be dried at 70°C for 2-4 hours.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-gpps-1460,https://chemportal.com.tr/wp-content/uploads/2024/11/GPPS.jpg,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""MELT FLOW INDEX (200°C 5KG)"", ""Unit"": ""g/10min"", ""Test Method"": ""ASTM D-1238"", ""Typical Value"": ""6.5""}, {""Property"": ""STYRENE RESIDUAL MONOMER"", ""Unit"": ""PPM"", ""Test Method"": ""CLG LABPSG004 (ATOFINA TEST METHOD)"", ""Typical Value"": ""<500""}, {""Property"": ""VICAT SOFTENING POINT (50°C/hr 1kg)"", ""Unit"": ""°C"", ""Test Method"": ""ASTM D-1525"", ""Typical Value"": ""103""}, {""Property"": ""TENSILE STRENGTH AT BREAK"", ""Unit"": ""MPA"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""48""}, {""Property"": ""ELONGATION AT BREAK"", ""Unit"": ""%"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""1""}, {""Property"": ""TENSILE MODULUS"", ""Unit"": ""MPA"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""3200""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
T-GPPS 1540,t-gpps-1540,GPPS,T-GPPS 1540,"T-GPPS 1540 is a GPPS grade intended for applications including Packaging articles; Petri dishes. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,"Packaging articles | Petri dishes | Office equipment | Pen barrels | Crisper boxes for refrigerators | Cups for gloss layer coextrusion | Anionic styrene-butadiene copolymer dilution | All values are typical and should not be construed as specifications. Users should confirm through their own tests. | Density and shrinkage values of this grade are approximately 1.04 kg/lit and (0.4-0.7)% as per ASTM D-955. | Tests are conducted at 23°C unless specified otherwise. | For injection molding products sensitive to moisture, granules of GPPS can be dried at 70°C for 2-4 hours.",,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=t-gpps-1540,https://chemportal.com.tr/wp-content/uploads/2024/11/GPPS.jpg,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""Property"": ""MELT FLOW INDEX (200°C 5KG)"", ""Unit"": ""g/10min"", ""Test Method"": ""ASTM D-1238"", ""Typical Value"": ""11""}, {""Property"": ""STYRENE RESIDUAL MONOMER"", ""Unit"": ""PPM"", ""Test Method"": ""ATOFINA Test"", ""Typical Value"": ""<500""}, {""Property"": ""VICAT SOFTENING POINT (50 °C/hr 1kg)"", ""Unit"": ""°C"", ""Test Method"": ""ASTM D-1525"", ""Typical Value"": ""91""}, {""Property"": ""ROCKWELL HARDNESS"", ""Unit"": ""–"", ""Test Method"": ""ASTM D-785"", ""Typical Value"": ""SCALE/L70""}, {""Property"": ""TENSILE STRENGTH AT BREAK"", ""Unit"": ""MPA"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""42""}, {""Property"": ""ELONGATION AT BREAK"", ""Unit"": ""%"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""2""}, {""Property"": ""TENSILE MODULUS"", ""Unit"": ""MPA"", ""Test Method"": ""ASTM D-638"", ""Typical Value"": ""3100""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
DEG (Diethylene Glycol),deg-diethylene-glycol,General Chemicals,DEG (Diethylene Glycol),"DEG (Diethylene Glycol) is a General Chemicals grade intended for applications including Synthesizing agents; Resins. Review the listed technical properties and confirm current specifications, regulatory suitability and availability with the relevant supplier before purchase.",,Synthesizing agents | Resins | Wetting and plasticizing agents | Coolant additives | Cement additive | Brake fluids,,,,,,,,,,,,,Confirm by RFQ,,,,,,Confirm by RFQ,Confirm by RFQ,https://chemportal.com.tr/?product=deg-diethylene-glycol,https://chemportal.com.tr/wp-content/uploads/2024/10/DEG.webp,Authorized for SmartKey publication — owner confirmed 2026-07-21,"[{""No."": ""1"", ""Property"": ""Purity"", ""Value"": ""99.8 MIN."", ""Units"": ""WT. %"", ""Test Method"": ""ASTM E-202""}, {""No."": ""2"", ""Property"": ""Monoethylene Glycol"", ""Value"": ""0.05 MAX."", ""Units"": ""WT. %"", ""Test Method"": ""ASTM E-202""}, {""No."": ""3"", ""Property"": ""Triethylene Glycol"", ""Value"": ""0.05 MAX."", ""Units"": ""WT. %"", ""Test Method"": ""ASTM E-202""}, {""No."": ""4"", ""Property"": ""Water Content"", ""Value"": ""0.05 MAX."", ""Units"": ""WT. %"", ""Test Method"": ""ASTM E-202""}, {""No."": ""5"", ""Property"": ""Acidity as Acetic Acid"", ""Value"": ""50 MAX."", ""Units"": ""PPM"", ""Test Method"": ""ASTM D-1613""}, {""No."": ""6"", ""Property"": ""Ash Content"", ""Value"": ""50 MAX."", ""Units"": ""PPM"", ""Test Method"": ""ASTM D-254/A""}, {""No."": ""7"", ""Property"": ""SP. GR. (20/20 °C)"", ""Value"": ""1.1175-1.1195"", ""Units"": ""–"", ""Test Method"": ""ASTM D-891""}, {""No."": ""8"", ""Property"": ""Color"", ""Value"": ""10 MAX."", ""Units"": ""Pt-Co"", ""Test Method"": ""ASTM D-1209""}, {""No."": ""9"", ""Property"": ""IBP"", ""Value"": ""242 MIN."", ""Units"": ""°C"", ""Test Method"": ""ASTM D-1078""}, {""No."": ""10"", ""Property"": ""DP"", ""Value"": ""250 MAX."", ""Units"": ""°C"", ""Test Method"": ""ASTM D-1078""}]",2026-07-21,Source captured; technical review pending,Yes,"SmartKey Turkey acts as an authorized sales representative and sourcing coordinator; it is not the manufacturer. Current specifications, availability, pricing and final commercial terms are confirmed for each inquiry."
